<soft> Caption: Windows Mobile Extension SDK ; InstallDate: 20190507</soft>
<soft> Caption: vs_devenvmsi ; InstallDate: 20190215</soft>
<soft> Caption: SQL Server 2017 Shared Management Objects Extensions ; InstallDate: 20190404</soft>
<soft> Caption: WinRT Intellisense IoT - Other Languages ; InstallDate: 20190507</soft>
<soft> Caption: SQL Server 2017 Shared Management Objects ; InstallDate: 20190404</soft>
<soft> Caption: PTC Diagnostic Tools ; InstallDate: 20191020</soft>
<soft> Caption: Windows SDK Desktop Tools arm64 ; InstallDate: 20190326</soft>
<soft> Caption: Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40649 False ; InstallDate: 20190217</soft>
<soft> Caption: SQL Server 2017 Database Engine Shared ; InstallDate: 20191111</soft>
<soft> Caption: Microsoft Visual Studio 2010 Tools for Office Runtime (x64) ; InstallDate: 20191108</soft>
<soft> Caption: Microsoft Visual C++ 2005 Redistributable - x64 8.0.51011 False ; InstallDate: 20190217</soft>
<soft> Caption: Пакет SDK Microsoft .NET Framework 4.5.1 (Русский) ; InstallDate: 20190404</soft>
<soft> Caption: Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.51106 False ; InstallDate: 20190217</soft>
<soft> Caption: Java 8 Update 211 ; InstallDate: 20190506</soft>
<soft> Caption: Java 8 Update 211 (64-bit) ; InstallDate: 20190617</soft>
<soft> Caption: Java 8 Update 212 (64-bit) ; InstallDate: 20190626</soft>
<soft> Caption: Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies ; InstallDate: 20190404</soft>
<soft> Caption: SDK Debuggers ; InstallDate: 20190507</soft>
<soft> Caption: Java SE Development Kit 8 Update 211 (64-bit) ; InstallDate: 20190624</soft>
<soft> Caption: Java SE Development Kit 8 Update 212 (64-bit) ; InstallDate: 20190626</soft>
<soft> Caption: Autodesk Single Sign On Component ; InstallDate: 20190214</soft>
<soft> Caption: VS Script Debugging Common ; InstallDate: 20190215</soft>
<soft> Caption: Microsoft Visual C++ 2019 X64 Debug Runtime - 14.20.27508 ; InstallDate: 20190902</soft>
<soft> Caption: Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40649 False ; InstallDate: 20190217</soft>
<soft> Caption: Модуль записи VSS (Майкрософт) для SQL Server 2017 ; InstallDate: 20191111</soft>
